datetime,hour_of_day,day_of_week,month,quarter,london_session,ny_session,asian_session,direction,ofl_probability,risk_pips,rr_to_erl,rr_to_erl_capped,range_size_pips,position_in_range,distance_from_eq_pips,erl_distance_pips,fvg_size_pips,avg_candle_body_pips,avg_range_pips,directional_momentum,volatility_ratio,dist_to_equilibrium,is_in_discount,win,rr_achieved,momentum_class
2026-02-10 20:15:00,20,1,2,1,0,0,0,0,2,33801.99999999604,6.460268623159281,6.460268623159281,96499.99999999636,0.6497409326425568,14450.000000006185,218370.00000000442,17300.00000000473,21934.000000000196,48197.99999999941,4,2.002375699943013,14450.000000006185,0,0,-1.0,0
2026-02-11 01:00:00,1,2,2,1,0,0,1,0,2,47602.00000000623,5.130036553085349,5.130036553085349,151700.00000000073,0.6862228081740148,28249.99999999818,244200.00000000073,25270.000000000437,32977.0000000035,71420.99999999937,0,2.616839384073528,28249.99999999818,0,0,-1.0,0
2026-02-11 02:35:00,2,2,2,1,0,0,1,0,2,93901.99999999822,2.8849225788588804,2.8849225788588804,57300.00000000473,1.1378708551483243,36550.00000000655,270900.00000000146,20100.000000002183,37924.00000000089,80643.00000000093,2,0.4428924282371157,36550.00000000655,0,0,-1.0,0
2026-02-11 05:00:00,5,2,2,1,0,0,1,1,2,36702.00000000477,4.3975805133230415,4.3975805133230415,102570.00000000517,-0.12216047577260784,63814.99999999505,161400.00000000326,8100.000000004002,19250.00000000091,37007.00000000052,-4,0.9133893445957192,63814.99999999505,1,1,4.3975805133230415,1
2026-02-11 07:10:00,7,2,2,1,0,0,1,0,2,66102.00000000987,3.6927778282043224,3.6927778282043224,95500.00000000182,1.6670157068062585,111450.00000000437,244099.99999999854,38800.00000000109,20386.999999999716,57867.0000000011,2,2.01752101930984,111450.00000000437,0,0,-1.0,0
2026-02-11 07:10:00,7,2,2,1,0,0,1,0,2,107902.00000000368,2.26223795666429,2.26223795666429,95500.00000000182,1.6670157068062585,111450.00000000437,244099.99999999854,38800.00000000109,20386.999999999716,57867.0000000011,2,2.01752101930984,111450.00000000437,0,0,-1.0,0
2026-02-11 13:30:00,13,2,2,1,1,0,0,1,2,101202.00000000295,9.78340349004925,9.78340349004925,261999.9999999982,-1.669465648854965,568400.0000000014,990099.9999999931,10199.99999999527,57669.999999998254,127243.0000000004,0,6.070809539750766,568400.0000000014,1,0,-1.0,0
2026-02-11 13:30:00,13,2,2,1,1,0,0,1,2,59032.00000000652,15.731637078193017,10.0,261999.9999999982,-1.4350000000000005,506970.00000000116,928669.9999999928,24499.99999999818,57669.999999998254,127243.0000000004,0,6.070809539750766,506970.00000000116,1,0,-1.0,0
2026-02-11 13:30:00,13,2,2,1,1,0,0,1,2,43732.000000009066,21.235479740231415,10.0,261999.9999999982,-1.4350000000000005,506970.00000000116,928669.9999999928,24499.99999999818,57669.999999998254,127243.0000000004,0,6.070809539750766,506970.00000000116,1,0,-1.0,0
2026-02-11 15:20:00,15,2,2,1,0,1,0,1,2,157002.0000000022,4.304403765557062,4.304403765557062,281199.9999999989,-0.07574679943101413,161899.99999999598,675799.9999999993,48000.00000000182,79400.00000000237,149480.00000000047,0,1.9196993213030737,161899.99999999598,1,0,-1.0,0
2026-02-11 17:40:00,17,2,2,1,0,1,0,0,2,150572.00000001103,4.909478521902768,4.909478521902768,80000.0,1.3316249999999172,66529.99999999338,739229.9999999978,51030.000000000655,28708.999999999833,69395.99999999882,2,1.9708268956804706,66529.99999999338,0,1,4.909478521902768,1
2026-02-11 17:40:00,17,2,2,1,0,1,0,0,2,66372.0000000103,11.13767853914125,10.0,80000.0,1.3316249999999172,66529.99999999338,739229.9999999978,51030.000000000655,28708.999999999833,69395.99999999882,2,1.9708268956804706,66529.99999999338,0,0,-1.0,0
2026-02-11 18:10:00,18,2,2,1,0,1,0,1,2,59931.99999999888,3.6236067543217243,3.6236067543217243,123199.99999999709,-0.342288961039014,103770.00000000407,217170.00000000553,29470.000000001164,45730.00000000047,73039.99999999997,-2,1.861006106402316,103770.00000000407,1,0,-1.0,0
2026-02-11 18:10:00,18,2,2,1,0,1,0,1,2,92332.00000000579,2.352055625351903,2.352055625351903,123199.99999999709,-0.342288961039014,103770.00000000407,217170.00000000553,29470.000000001164,45730.00000000047,73039.99999999997,-2,1.861006106402316,103770.00000000407,1,1,2.352055625351903,1
2026-02-11 19:10:00,19,2,2,1,0,1,0,0,2,87002.00000001132,2.6953403370033757,2.6953403370033757,91099.99999999673,1.1130625686059037,55850.000000000364,234499.9999999982,8299.999999999272,30829.999999999927,66115.0000000016,2,0.7299996681722692,55850.000000000364,0,0,-1.0,0
2026-02-11 19:10:00,19,2,2,1,0,1,0,0,2,35202.00000000841,6.6615533208324,6.6615533208324,91099.99999999673,1.1130625686059037,55850.000000000364,234499.9999999982,8299.999999999272,30829.999999999927,66115.0000000016,2,0.7299996681722692,55850.000000000364,0,0,-1.0,0
2026-02-11 20:55:00,20,2,2,1,0,0,0,0,2,25601.999999998952,9.089133661433243,9.089133661433243,108869.99999999716,1.1010379351520523,65434.99999999767,232700.00000000437,21800.00000000291,24910.000000000764,46199.999999998,4,0.8287242355496296,65434.99999999767,0,0,-1.0,0
2026-02-11 20:55:00,20,2,2,1,0,0,0,0,2,41302.00000000514,5.634109728341858,5.634109728341858,108869.99999999716,1.1010379351520523,65434.99999999767,232700.00000000437,21800.00000000291,24910.000000000764,46199.999999998,4,0.8287242355496296,65434.99999999767,0,0,-1.0,0
2026-02-11 23:00:00,23,2,2,1,0,0,1,0,2,80402.00000000368,4.019800502474956,4.019800502474956,160099.99999999307,1.3953778888195572,143350.00000000035,323200.00000000617,16600.00000000764,29949.999999999818,59996.99999999848,4,4.322906547419466,143350.00000000035,0,1,4.019800502474956,1
2026-02-11 23:00:00,23,2,2,1,0,0,1,0,2,20901.999999996406,11.434312505982517,10.0,160099.99999999307,0.8694565896315224,59149.999999999636,239000.00000000547,63000.00000000182,29949.999999999818,59996.99999999848,4,4.322906547419466,59149.999999999636,0,0,-1.0,0
2026-02-12 02:25:00,2,3,2,1,0,0,1,1,2,105102.00000000623,3.492131453254681,3.492131453254681,82399.99999999782,-0.1614077669902867,54499.99999999818,367029.9999999952,32899.999999999636,27694.000000001324,63198.00000000032,2,0.6469340660720694,54499.99999999818,1,0,-1.0,0
2026-02-12 02:35:00,2,3,2,1,0,0,1,1,2,75402.00000000368,5.261531524362462,5.261531524362462,77899.99999999964,-0.20795892169446706,55149.99999999418,396729.99999999773,29899.999999997817,23301.000000001295,61845.000000000255,2,0.945679931887786,55149.99999999418,1,0,-1.0,0
2026-02-12 03:35:00,3,3,2,1,0,0,1,0,2,86502.0000000095,2.4747404684281165,2.4747404684281165,164059.99999999948,0.6921857856881508,31530.000000002474,214069.99999999243,2799.9999999974534,31160.000000000764,70969.00000000096,2,0.3767033035116501,31530.000000002474,0,0,-1.0,0
2026-02-12 03:35:00,3,3,2,1,0,0,1,0,2,50502.000000005864,4.238842026057732,4.238842026057732,164059.99999999948,0.6921857856881508,31530.000000002474,214069.99999999243,2799.9999999974534,31160.000000000764,70969.00000000096,2,0.3767033035116501,31530.000000002474,0,0,-1.0,0
2026-02-12 04:45:00,4,3,2,1,0,0,1,1,2,55471.99999999975,3.300764349581858,3.300764349581858,59899.99999999782,0.3589315525875984,8450.000000002547,183100.00000000402,8100.000000004002,16159.999999999854,36160.99999999915,-2,0.8398537166005741,8450.000000002547,1,1,3.300764349581858,1
2026-02-12 04:45:00,4,3,2,1,0,0,1,1,2,21502.000000000407,8.515486931448264,8.515486931448264,59899.99999999782,0.3589315525875984,8450.000000002547,183100.00000000402,8100.000000004002,16159.999999999854,36160.99999999915,-2,0.8398537166005741,8450.000000002547,1,1,8.515486931448264,2
2026-02-12 05:40:00,5,3,2,1,0,0,1,0,2,78472.00000000157,2.495157508410584,2.495157508410584,133800.0000000011,0.43819133034381436,8270.000000002256,195799.99999999927,24729.999999999563,36340.000000001055,59214.00000000085,2,1.3993191934769096,8270.000000002256,0,1,2.495157508410584,1
2026-02-12 05:40:00,5,3,2,1,0,0,1,0,2,75172.0000000023,2.604693236843416,2.604693236843416,133800.0000000011,0.43819133034381436,8270.000000002256,195799.99999999927,24729.999999999563,36340.000000001055,59214.00000000085,2,1.3993191934769096,8270.000000002256,0,1,2.604693236843416,1
2026-02-12 06:25:00,6,3,2,1,0,0,1,1,2,49402.000000000044,3.8642160236427934,3.8642160236427934,81099.99999999673,-0.37361282367457177,70850.00000000036,190900.00000000146,27400.000000006912,33909.999999999854,62230.0000000032,0,1.3683157929024603,70850.00000000036,1,0,-1.0,0
2026-02-12 06:25:00,6,3,2,1,0,0,1,1,2,39502.00000000223,4.832666700419996,4.832666700419996,81099.99999999673,-0.37361282367457177,70850.00000000036,190900.00000000146,27400.000000006912,33909.999999999854,62230.0000000032,0,1.3683157929024603,70850.00000000036,1,0,-1.0,0
2026-02-12 07:20:00,7,3,2,1,0,0,1,1,2,82002.00000000223,2.226774956708339,2.226774956708339,144030.00000000247,0.5693258348954855,9984.999999996944,182600.00000000218,11800.00000000291,26943.00000000112,58180.00000000029,-2,1.0754026178966138,9984.999999996944,0,1,2.226774956708339,1
2026-02-12 08:25:00,8,3,2,1,0,0,1,1,2,46602.00000000259,3.6479121067763303,3.6479121067763303,167929.99999999665,0.2774965759542635,37364.99999999978,170000.0,16639.9999999976,29521.00000000064,46739.99999999887,0,1.1914031144406751,37364.99999999978,1,0,-1.0,0
2026-02-12 10:10:00,10,3,2,1,1,0,0,1,2,51302.00000000514,2.9979338037500627,2.9979338037500627,121700.00000000073,-0.2637633525061641,92950.00000000073,153800.0000000011,3600.0000000058208,24132.9999999989,47949.99999999891,0,1.142778601350027,92950.00000000073,1,0,-1.0,0
2026-02-12 11:55:00,11,3,2,1,1,0,0,1,2,29872.000000004846,5.506829137653036,5.506829137653036,61700.00000000073,0.3565640194489128,8850.000000002183,164499.9999999982,1400.0000000032742,11700.000000000728,30149.999999999636,6,1.815465283403989,8850.000000002183,1,0,-1.0,0
2026-02-12 11:55:00,11,3,2,1,1,0,0,1,2,22002.000000002226,7.476593036995798,7.476593036995798,61700.00000000073,0.3565640194489128,8850.000000002183,164499.9999999982,1400.0000000032742,11700.000000000728,30149.999999999636,6,1.815465283403989,8850.000000002183,1,0,-1.0,0
2026-02-12 12:40:00,12,3,2,1,1,0,0,1,2,26502.000000009502,6.844766432719385,6.844766432719385,87100.00000000036,0.30424799081521636,17049.999999999272,181399.99999999418,10899.99999999236,26527.000000000953,45167.00000000037,2,2.3228794494555483,17049.999999999272,1,0,-1.0,0
2026-02-12 13:10:00,13,3,2,1,1,0,0,0,2,49702.00000000659,3.0179872037338558,3.0179872037338558,199700.00000000256,0.751126690035043,50150.000000003274,150000.0,52599.99999999309,33609.99999999967,54447.00000000012,0,1.0248036866932324,50150.000000003274,0,0,-1.0,0
2026-02-12 13:15:00,13,3,2,1,1,0,0,0,2,97301.99999999968,2.293889128692184,2.293889128692184,199700.00000000256,1.117676514772175,123350.00000000946,223200.00000000617,14000.000000005457,34750.00000000091,55447.000000001026,2,1.6334853995072587,123350.00000000946,0,0,-1.0,0
2026-02-12 14:15:00,14,3,2,1,1,0,0,1,2,88102.00000000805,2.9715556968057366,2.9715556968057366,173599.99999999674,-0.1630184331797224,115100.00000000218,261800.0000000029,35299.99999999745,52553.99999999827,87809.99999999859,2,1.8104387706424205,115100.00000000218,1,0,-1.0,0
2026-02-12 16:10:00,16,3,2,1,0,1,0,1,2,47602.00000000623,27.839166421575374,10.0,122770.00000000044,-9.075751405066333,1175614.999999998,1325200.0000000044,26099.999999996726,47177.00000000059,72688.000000001,0,11.529249843340535,1175614.999999998,1,0,-1.0,0
